Country,Reported number of people receiving ART,Estimated number of people living with HIV,Estimated ART coverage among people living with HIV (%),Estimated number of people living with HIV_median,Estimated number of people living with HIV_min,Estimated number of people living with HIV_max,Estimated ART coverage among people living with HIV (%)_median,Estimated ART coverage among people living with HIV (%)_min,Estimated ART coverage among people living with HIV (%)_max,WHO Region
Libya,4100,9200[8300–10000],44[40–49],9200.0,8300.0,10000.0,44.0,40.0,49.0,Eastern Mediterranean
Luxembourg,890,1200[1000–1300],77[67–86],1200.0,1000.0,1300.0,77.0,67.0,86.0,Europe
Madagascar,3500,39000[30000–55000],9[7–13],39000.0,30000.0,55000.0,9.0,7.0,13.0,Africa
Malawi,814000,1000000[940000–1100000],78[70–84],1000000.0,940000.0,1100000.0,78.0,70.0,84.0,Africa
Malaysia,41500,87000[77000–98000],48[42–53],87000.0,77000.0,98000.0,48.0,42.0,53.0,Western Pacific
Mali,47100,150000[120000–190000],31[25–39],150000.0,120000.0,190000.0,31.0,25.0,39.0,Africa
Mauritania,3000,5600[4500–7200],54[44–69],5600.0,4500.0,7200.0,54.0,44.0,69.0,Africa
Mauritius,2800,13000[10000–15000],22[18–26],13000.0,10000.0,15000.0,22.0,18.0,26.0,Africa
Mexico,165000,230000[200000–270000],70[60–80],230000.0,200000.0,270000.0,70.0,60.0,80.0,Americas
Mongolia,200,600[530–670],32[29–36],600.0,530.0,670.0,32.0,29.0,36.0,Western Pacific
Montenegro,160,500[500–500],40[34–46],500.0,500.0,500.0,40.0,34.0,46.0,Europe
Morocco,13600,21000[17000–28000],65[52–86],21000.0,17000.0,28000.0,65.0,52.0,86.0,Eastern Mediterranean
Mozambique,1213000,2200000[1700000–2700000],56[44–68],2200000.0,1700000.0,2700000.0,56.0,44.0,68.0,Africa
Myanmar,167000,240000[210000–270000],70[63–79],240000.0,210000.0,270000.0,70.0,63.0,79.0,South-East Asia
Namibia,184000,200000[190000–220000],92[84–95],200000.0,190000.0,220000.0,92.0,84.0,95.0,Africa
Nepal,16900,30000[26000–34000],56[50–65],30000.0,26000.0,34000.0,56.0,50.0,65.0,South-East Asia
New Zealand,2700,3600[3100–4200],73[62–84],3600.0,3100.0,4200.0,73.0,62.0,84.0,Western Pacific
Nicaragua,5000,9400[7600–12000],53[43–68],9400.0,7600.0,12000.0,53.0,43.0,68.0,Americas
Niger,19800,36000[30000–43000],54[45–65],36000.0,30000.0,43000.0,54.0,45.0,65.0,Africa
Nigeria,1016000,1900000[1400000–2600000],53[40–71],1900000.0,1400000.0,2600000.0,53.0,40.0,71.0,Africa
Norway,4700,5800[5200–6300],82[74–90],5800.0,5200.0,6300.0,82.0,74.0,90.0,Europe
Oman,1300,3200[2900–3600],41[37–45],3200.0,2900.0,3600.0,41.0,37.0,45.0,Eastern Mediterranean
Pakistan,15800,160000[140000–190000],10[9–11],160000.0,140000.0,190000.0,10.0,9.0,11.0,Eastern Mediterranean
Panama,14200,26000[24000–29000],54[48–59],26000.0,24000.0,29000.0,54.0,48.0,59.0,Americas
Papua New Guinea,29400,45000[41000–50000],65[58–71],45000.0,41000.0,50000.0,65.0,58.0,71.0,Western Pacific
Paraguay,8500,21000[16000–31000],40[31–58],21000.0,16000.0,31000.0,40.0,31.0,58.0,Americas
Peru,57800,79000[58000–110000],73[54–95],79000.0,58000.0,110000.0,73.0,54.0,95.0,Americas
Philippines,33600,77000[65000–90000],44[37–51],77000.0,65000.0,90000.0,44.0,37.0,51.0,Western Pacific
Portugal,37200,41000[36000–46000],90[78–95],41000.0,36000.0,46000.0,90.0,78.0,95.0,Europe
Republic of Moldova,6000,17000[14000–23000],34[27–45],17000.0,14000.0,23000.0,34.0,27.0,45.0,Europe
Republic of North Macedonia,240,500[500–520],54[47–63],500.0,500.0,520.0,54.0,47.0,63.0,Europe
Romania,12100,18000[16000–20000],67[60–73],18000.0,16000.0,20000.0,67.0,60.0,73.0,Europe
Rwanda,194000,220000[200000–250000],87[76–95],220000.0,200000.0,250000.0,87.0,76.0,95.0,Africa
Senegal,26600,42000[37000–47000],63[55–71],42000.0,37000.0,47000.0,63.0,55.0,71.0,Africa
Serbia,2000,3000[2200–3800],65[47–83],3000.0,2200.0,3800.0,65.0,47.0,83.0,Europe
Sierra Leone,28400,70000[56000–86000],41[33–50],70000.0,56000.0,86000.0,41.0,33.0,50.0,Africa
Singapore,6200,7900[7200–8700],78[71–86],7900.0,7200.0,8700.0,78.0,71.0,86.0,Western Pacific
Slovakia,650,1200[910–1900],54[40–85],1200.0,910.0,1900.0,54.0,40.0,85.0,Europe
Somalia,3300,11000[8400–15000],30[23–41],11000.0,8400.0,15000.0,30.0,23.0,41.0,Eastern Mediterranean
South Africa,4788000,7700000[7100000–8300000],62[57–66],7700000.0,7100000.0,8300000.0,62.0,57.0,66.0,Africa
South Sudan,30700,190000[140000–240000],16[12–20],190000.0,140000.0,240000.0,16.0,12.0,20.0,Africa
Spain,125000,150000[130000–170000],84[73–94],150000.0,130000.0,170000.0,84.0,73.0,94.0,Europe
Sri Lanka,1600,3500[3100–4000],45[40–52],3500.0,3100.0,4000.0,45.0,40.0,52.0,South-East Asia
Sudan,9000,59000[26000–110000],15[7–28],59000.0,26000.0,110000.0,15.0,7.0,28.0,Eastern Mediterranean
Suriname,2900,5600[3700–8100],52[35–75],5600.0,3700.0,8100.0,52.0,35.0,75.0,Americas
Syrian Arab Republic,130,660[590–720],20[18–22],660.0,590.0,720.0,20.0,18.0,22.0,Eastern Mediterranean
Tajikistan,6000,13000[11000–16000],46[38–56],13000.0,11000.0,16000.0,46.0,38.0,56.0,Europe
Thailand,359000,480000[420000–550000],75[66–86],480000.0,420000.0,550000.0,75.0,66.0,86.0,South-East Asia
Togo,64800,110000[100000–120000],60[56–65],110000.0,100000.0,120000.0,60.0,56.0,65.0,Africa
Tunisia,1100,2800[1700–4400],39[24–61],2800.0,1700.0,4400.0,39.0,24.0,61.0,Eastern Mediterranean
Uganda,1004000,1400000[1300000–1500000],72[68–78],1400000.0,1300000.0,1500000.0,72.0,68.0,78.0,Africa
Ukraine,124000,240000[220000–260000],52[48–56],240000.0,220000.0,260000.0,52.0,48.0,56.0,Europe
United Republic of Tanzania,1109000,1600000[1400000–1700000],71[64–78],1600000.0,1400000.0,1700000.0,71.0,64.0,78.0,Africa
Uruguay,8100,14000[9900–19000],58[41–76],14000.0,9900.0,19000.0,58.0,41.0,76.0,Americas
Uzbekistan,26700,52000[48000–56000],51[47–55],52000.0,48000.0,56000.0,51.0,47.0,55.0,Europe
Viet Nam,150000,230000[200000–260000],65[57–73],230000.0,200000.0,260000.0,65.0,57.0,73.0,Western Pacific
Yemen,2200,11000[6500–18000],21[12–35],11000.0,6500.0,18000.0,21.0,12.0,35.0,Eastern Mediterranean
Zambia,965000,1200000[1100000–1400000],78[69–88],1200000.0,1100000.0,1400000.0,78.0,69.0,88.0,Africa
Zimbabwe,1151000,1300000[1100000–1500000],88[77–95],1300000.0,1100000.0,1500000.0,88.0,77.0,95.0,Africa
MIN_VAL,100,,,200.0,100.0,500.0,,,,
MAX_VAL,9900,,,7700000.0,7100000.0,8300000.0,,,,
